S_INT_id	A_INT_content_id	S_BOL_available	A_INT_tab	C_INT_new_tab	A_INT_type	A_INT_across_server_group	S_ARR_server_groups	S_INT_trigger_type	S_STR_trigger_val	S_BOL_reopen	S_STR_open_day_limit	S_STR_trigger_rept	S_STR_forecast_before_start	S_STR_duration	S_STR_close_after_end	S_INT_special_type	S_STR_special_val	S_INT_level_condition	S_INT_level_val
s	cs	s	cs	c	cs	cs	s	s	s	s	s	s	s	s	s	s	s	s	s
int	int	bool	int	int	int	int	int[]	int	string	bool	string	string	string	string	string	int	string	int	int
ID	ContentID	Available	Tab	NewTab	Type	AcrossServerGroup	ServerGroups	TriggerType	TriggerVal	Reopen	OpenDayLimit	TriggerRept	ForecastBeforeStart	Duration	CloseAfterEnd	SpecialType	SpecialVal	LevelCondition	LevelVal
id	content_id	available			type		server_groups	trigger_type	trigger_val	reopen		trigger_rept	forecast_before_start	duration	close_after_end

编号	内容ID	开启状态	活动入口	新活动入口	类型	跨服组	服务器组	时间类型	时间数值	循环状态	开服时间限制	再次触发时间	预告时间	持续时间	关闭时间	特殊条件	特殊条件值	等级条件	等级条件值


32000101	1011	1	6	0	32	0	[]	3	0h	0	0h	0h	0h	3600d	0h	0	0	0	0
2800100	0	1	6	0	28	0	[]	3	3h	0	0h	0	0h	3600d	0h	0	0	0	0
2000101	1301	1	6	0	14	0	[]	3	0h	0	0h	0h	0h	3600d	0h	0	0	0	0
1050202	801	1	8	0	37	0	[]	3	0d	0	0h	0h	0h	7d	0h	6	2026-06-25 00:00:00	0	0
1050207	804	1	8	0	37	0	[]	3	0d	0	0h	0h	0h	7d	0h	5	2026-06-25 00:00:00	0	0
1050203	803	1	8	0	37	0	[]	3	7d	0	0h	0h	0h	7d	0h	0	0	0	0
1050204	803	1	8	0	37	0	[]	3	14d	0	0h	0h	0h	7d	0h	0	0	0	0
1050205	803	1	8	0	37	0	[]	3	21d	0	0h	0h	0h	7d	0h	0	0	0	0
1050206	802	1	8	0	37	0	[]	3	28d	1	0h	7d	0h	7d	0h	0	0	0	0
2300101	1010	1	99	16	12	0	[]	2	7d	0	0h	0h	0h	7d	0h	0	0	1	0
2300102	1020	1	99	17	12	0	[]	2	21d	0	0h	0h	0h	7d	0h	0	0	1	0
2300103	1030	1	99	18	12	0	[]	2	35d	0	0h	0h	0h	7d	0h	0	0	1	0
2300104	1040	1	99	19	12	0	[]	2	49d	0	0h	0h	0h	7d	0h	0	0	1	0
2300105	1050	1	99	20	12	0	[]	2	63d	0	0h	0h	0h	7d	0h	0	0	1	0
2300106	1060	1	99	21	12	0	[]	2	77d	0	0h	0h	0h	7d	0h	0	0	1	0
2300107	1070	1	99	22	12	0	[]	2	91d	0	0h	0h	0h	7d	0h	0	0	1	0
2300108	1080	1	99	23	12	0	[]	2	105d	0	0h	0h	0h	7d	0h	0	0	1	0
2300201	2010	1	99	26	12	0	[]	2	119d	0	0d	14d	0h	7d	0h	6	2025-05-26 00:00:00	1	0
2300202	2010	1	99	27	12	0	[]	4	2025-09-29 00:00:00	1	112d	14d	0h	7d	0h	0	0	1	0
1100101	7601	1	-1	0	5	0	[]	3	0h	0	0h	0h	0h	36000d	0h	0	0	0	0
1100102	1901	1	-1	0	5	0	[]	3	0h	0	0h	0h	0h	7d	0h	6	2025-11-14 00:00:00	0	0
1100103	1913	1	-1	0	5	0	[]	3	0h	0	0h	0h	0h	7d	0h	5	2025-11-14 00:00:00	0	0
2000201	1401	1	4	0	16	0	[]	3	0h	0	0h	0h	0h	3600d	0h	0	0	0	0
30000002	1004	1	4	0	104	0	[]	1	2023-08-04 00:00:00	0	0h	0h	0h	7d	0h	0	0	0	0
31000100	0	1	4	0	30	0	[]	2	1d	0	0h	0h	0h	3600d	0h	0	0	0	0
3100001	1500	1	4	0	35	0	[]	2	7d	0	0h	0h	0h	14d	0h	6	2026-08-27 00:00:00	0	0
3100002	1501	1	4	0	35	0	[]	2	7d	0	0h	0h	0h	14d	0h	5	2026-08-27 00:00:00	0	0
38000001	1001	0	4	0	38	0	[]	4	2023-12-14 00:00:00	0	0d	0h	0h	12d	0h	1	2023-12-14 00:00:00	0	0
38000002	2001	0	4	0	38	0	[]	4	2024-01-01 00:00:00	1	84d	28d	0h	14d	0h	0	0	0	0
38000003	1001	1	4	0	38	0	[]	3	14d	0	0d	0h	0h	12d	0h	0	0	0	0
38000004	1002	1	4	0	38	0	[]	3	42d	1	0d	28d	0h	12d	0h	0	0	0	0
1000001	102	1	99	25	1	0	[]	2	7d	0	0h	0h	0h	7d	24h	0	0	0	0
1100001	110	1	0	0	10	0	[]	1	2023-02-18 20:00:00	1	46d	14d	0d	24h	496798s	0	0	1	1
1100003	110	1	0	0	10	0	[]	1	2024-07-13 14:00:00	1	46d	14d	0d	24h	539998s	0	0	1	1
1100010	4001	1	0	0	101	0	[]	1	2023-02-20 00:00:00	1	0h	14d	0d	13d	0d	0	0	1	1
1000004	301	1	99	25	3	0	[]	2	7d	0	0h	0h	0h	168h	24h	6	2025-07-07 00:00:00	0	0
2000006	9002	1	0	0	74	0	[]	1	2025-09-15 00:00:00	1	14d	7d	0h	7d	0h	0	0	0	0
1000020	401	1	99	25	3	0	[]	2	7d	0	0h	0h	0h	168h	24h	6	2025-10-17 00:00:00	0	0
1000021	402	1	99	25	3	0	[]	2	7d	0	0h	0h	0h	168h	24h	5	2025-10-17 00:00:00	0	0
22000001	120	1	0	0	11	0	[]	2	2d	0	0h	0d	0h	3d	0h	0	0	0	1
22000006	121	1	0	0	11	0	[]	2	9d	0	0h	0d	0h	3d	0h	0	0	0	1
1120001	1200	1	0	0	9	0	[]	2	0d	0	0h	0d	0h	3600d	0h	0	0	1	1
3000001	3001	1	0	0	15	0	[]	2	2d	0	0d	0d	0h	1d	0h	0	0	1	1
3000002	3001	1	0	0	15	0	[]	2	9d	0	0d	0d	0h	1d	0h	0	0	1	1
3000003	3001	1	0	0	15	0	[]	1	2025-01-14 00:00:00	1	10d	7d	0h	1d	0h	0	0	1	1
3000101	3101	1	0	0	27	0	[]	2	1d	1	0d	7d	0h	7d	0h	0	0	1	1
4000001	4001	1	0	0	20	0	[]	1	2025-01-17 00:00:00	1	14d	7d	0h	1d	0h	0	0	1	1
4000003	4001	1	0	0	20	0	[]	2	6d	0	0d	0d	0h	1d	0h	0	0	1	1
4000004	4001	1	0	0	20	0	[]	2	13d	0	0d	0d	0h	1d	0h	0	0	1	1
5000001	3001	1	0	0	21	0	[]	1	2025-04-17 00:00:00	1	11d	7d	0h	1d	0h	0	0	1	1
5000002	3001	1	0	0	22	0	[]	1	2025-04-18 00:00:00	1	12d	7d	0h	1d	0h	0	0	1	1
1100012	0	1	0	0	103	0	[]	1	2025-04-21 00:00:00	1	0h	14d	0d	4d	46h	0	0	1	1
1100011	0	1	0	0	102	0	[]	1	2025-04-26 14:00:00	1	0h	14d	0d	8h	0d	0	0	1	1
1099301	995	0	0	0	26	0	[]	2	0d	0	0h	14d	0h	7d	0h	0	0	0	1
1099401	996	1	0	0	23	0	[]	2	5d	0	0h	0d	0h	2d	0h	0	0	0	1
1099402	996	1	0	0	23	0	[]	2	12d	0	0h	0d	0h	2d	0h	0	0	0	1
1200001	120	1	0	0	24	0	[]	2	0d	1	1d	7d	0h	7d	0h	0	0	0	1
1201001	1201	1	0	0	25	0	[]	2	1d	0	0h	0d	0h	28d	0h	0	0	0	1
1090101	901	1	0	0	9	0	[]	3	0d	0	0h	0h	0h	168h	0h	6	2026-01-09 00:00:00	1	1
1090103	902	1	99	24	9	0	[]	3	0d	0	0h	0h	0h	168h	0h	5	2026-01-09 00:00:00	1	1
30000101	1001	0	0	0	4	0	[]	4	2023-01-21 00:00:00	0	0h	8640h	0h	168h	24h	0	168h	0	0
30000102	1001	0	4	0	8	0	[]	4	2023-01-21 00:00:00	0	0h	8640h	0h	168h	0h	0	168h	0	0
30000103	1001	0	4	0	5	0	[]	4	2023-01-21 00:00:00	0	0h	8640h	0h	168h	0h	0	168h	0	0
30000201	1002	1	2	0	17	0	[]	1	2023-03-14 00:00:00	0	0	0h	0h	7d	0h	0	0	0	0
30000202	1002	1	2	0	18	0	[]	1	2023-03-14 00:00:00	0	0	0h	0h	7d	0h	0	0	0	0
30000203	1002	1	2	0	104	0	[]	1	2023-03-14 00:00:00	0	0	0h	0h	8d	0h	0	0	0	0
30000204	1002	1	2	0	5	0	[]	4	2023-03-14 00:00:00	0	0	0h	0h	7d	0h	4	168h	0	0
30000301	1003	1	2	0	17	0	[]	1	2023-04-01 00:00:00	0	0	0h	0h	7d	0h	0	0	0	0
30000302	1003	1	2	0	18	0	[]	1	2023-04-01 00:00:00	0	0	0h	0h	7d	0h	0	0	0	0
30000303	1003	1	2	0	104	0	[]	1	2023-04-01 00:00:00	0	0	0h	0h	8d	0h	0	0	0	0
30000304	1003	1	2	0	5	0	[]	4	2023-04-01 00:00:00	0	0	0h	0h	7d	0h	4	168h	0	0
1000002	201	1	1	0	2	0	[]	3	0h	0	0h	0h	0h	7d	0h	0	0	0	0
2901000	1000	1	4	0	29	0	[]	3	3d	0	0h	0h	0h	4d	0h	0	0	0	0
2951001	1001	1	4	0	29	0	[]	4	2023-08-07 00:00:00	1	7d	7d	0h	7d	0h	0	0	0	0
3001000	1011	0	4	0	31	0	[]	1	2023-11-11 00:00:00	1	7d	7d	0h	2d	0h	0	0	0	0
3002000	101	0	0	0	40	0	[]	3	0h	0	0h	0h	0h	7d	0h	2	2023-11-30 00:00:00	0	0
3002001	101	0	0	0	40	0	[]	4	2023-11-30 00:00:00	0	0h	0h	0h	7d	0h	1	2023-11-30 00:00:00	0	0
1008	1306	1	0	0	9	0	[]	5	0d	0	0h	0d	0h	5d	0h	0	0	1	1
1020401	605	1	2	0	37	0	[]	4	2024-01-22 00:00:00	0	0h	0h	0h	8d	24h	0	0	0	0
1020402	305	1	2	0	3	0	[]	1	2024-01-22 00:00:00	0	0h	0d	0h	168h	24h	0	0	0	0
1020403	10004	1	2	0	13	0	[]	1	2024-01-22 00:00:00	0	0h	0d	0h	168h	24h	0	0	0	0
1020404	1906	1	2	0	5	0	[]	1	2024-01-22 00:00:00	0	0h	0d	0h	168h	0h	0	0	0	0
1020405	1007	1	2	0	18	0	[]	1	2024-01-22 00:00:00	0	0h	0h	0h	7d	0h	0	0	0	0
1020406	1002	1	2	0	39	0	[]	1	2024-01-22 00:00:00	0	0h	0h	0h	7d	0h	0	0	0	0
1020407	1002	1	2	0	42	0	[]	1	2024-01-22 00:00:00	0	0h	0h	0h	8d	24h	0	0	0	0
1030001	210	0	7	0	43	0	[]	6	7d	1	0h	30d	0h	7d	0h	0	0	1	25
1030002	701	0	7	0	37	0	[]	6	7d	1	0h	30d	0h	7d	24h	0	0	1	25
1030003	90000	0	7	0	13	0	[]	6	7d	1	0h	30d	0h	7d	24h	0	0	1	25
1030004	410	0	7	0	44	0	[]	6	7d	1	0h	30d	0h	7d	0h	0	0	1	25
1030005	1001	0	7	0	45	0	[]	6	7d	1	0h	30d	0h	7d	0h	0	0	1	25
22000007	121	1	0	0	11	0	[]	1	2025-01-18 00:00:00	1	12d	7d	0h	2d	0h	0	0	0	1
22000008	121	1	0	0	11	0	[]	1	2025-01-21 00:00:00	1	12d	7d	0h	1d	0h	0	0	0	1
1099403	996	1	0	0	23	0	[]	1	2025-01-15 00:00:00	1	14d	7d	0h	2d	0h	0	0	0	1
2000010	100	1	99	24	81	0	[]	2	0d	0	0h	0h	0h	7d	0h	6	2026-06-25 00:00:00	0	0
2000011	100	1	99	24	81	0	[]	2	0d	0	0h	0h	0h	7d	0h	5	2026-06-25 00:00:00	0	0
1000010	100	1	99	24	70	0	[]	2	0d	0	0h	0h	0h	7d	0h	6	2026-01-09 00:00:00	0	0
1000110	109	1	99	24	70	0	[]	2	0d	0	0h	0h	0h	7d	0h	6	2026-06-25 00:00:00	0	0
1000210	110	1	99	24	70	0	[]	2	0d	0	0h	0h	0h	7d	0h	5	2026-06-25 00:00:00	0	0
1000011	200	1	99	24	72	0	[]	2	0d	0	0h	0h	0h	7d	0h	0	0	0	0
1000009	406	1	99	24	4	0	[]	3	0h	0	0h	0h	0h	168h	24h	6	2025-11-14 00:00:00	0	1
