C_INT_id	C_ARR_modifier
s	s
int	TypIDVal[]
CfgID	Modifier
id	modifier
	TypIDVal_P_cspb
装备配置 ID	attribute modifiers (Typ=battle_attribute; IDs 1..4=max_hp/attack/defense/speed)


1	"[{""typ"":""battle_attribute"",""id"":1,""val"":23,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":4,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":2,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
2	"[{""typ"":""battle_attribute"",""id"":1,""val"":26,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":5,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":3,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
3	"[{""typ"":""battle_attribute"",""id"":1,""val"":29,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":6,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":3,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
4	"[{""typ"":""battle_attribute"",""id"":1,""val"":32,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":7,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":4,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
5	"[{""typ"":""battle_attribute"",""id"":1,""val"":35,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":8,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":4,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
6	"[{""typ"":""battle_attribute"",""id"":1,""val"":38,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":9,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":5,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
7	"[{""typ"":""battle_attribute"",""id"":1,""val"":41,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":10,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":5,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
8	"[{""typ"":""battle_attribute"",""id"":1,""val"":44,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":11,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":6,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
9	"[{""typ"":""battle_attribute"",""id"":1,""val"":47,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":12,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":6,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
10	"[{""typ"":""battle_attribute"",""id"":1,""val"":50,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":13,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":7,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
11	"[{""typ"":""battle_attribute"",""id"":1,""val"":53,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":14,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":7,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
12	"[{""typ"":""battle_attribute"",""id"":1,""val"":56,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":15,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":8,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
13	"[{""typ"":""battle_attribute"",""id"":1,""val"":59,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":16,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":8,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
14	"[{""typ"":""battle_attribute"",""id"":1,""val"":62,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":17,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":9,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
15	"[{""typ"":""battle_attribute"",""id"":1,""val"":65,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":18,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":9,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
16	"[{""typ"":""battle_attribute"",""id"":1,""val"":68,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":19,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":10,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
17	"[{""typ"":""battle_attribute"",""id"":1,""val"":71,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":20,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":10,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
18	"[{""typ"":""battle_attribute"",""id"":1,""val"":74,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":21,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":11,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
19	"[{""typ"":""battle_attribute"",""id"":1,""val"":77,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":22,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":11,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
20	"[{""typ"":""battle_attribute"",""id"":1,""val"":80,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":23,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":12,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
21	"[{""typ"":""battle_attribute"",""id"":1,""val"":83,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":24,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":12,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
22	"[{""typ"":""battle_attribute"",""id"":1,""val"":86,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":25,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":13,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
23	"[{""typ"":""battle_attribute"",""id"":1,""val"":89,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":26,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":13,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
24	"[{""typ"":""battle_attribute"",""id"":1,""val"":92,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":27,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":14,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
25	"[{""typ"":""battle_attribute"",""id"":1,""val"":95,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":28,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":14,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
