C_INT_id	C_LONG_max_hp	C_LONG_attack	C_LONG_defense	C_LONG_speed	C_INT_basic_skill_id	C_ARR_active_skill_ids	C_ARR_initial_status_ids
s	s	s	s	s	s	s	s
int	long	long	long	long	int	int[]	int[]
CfgID	MaxHP	Attack	Defense	Speed	BasicSkillID	ActiveSkillIDs	InitialStatusIDs
id	max_hp	attack	defense	speed	basic_skill_id	active_skill_ids	initial_status_ids
							
怪物配置 ID	基础最大生命	基础攻击	基础防御	基础速度	普攻技能 ID	主动技能 ID	初始状态 ID


1	830	84	37	66	1	[2]	[1]
2	860	88	39	67	2	[3]	[2]
3	890	92	41	68	3	[4]	[3]
4	920	96	43	69	4	[5]	[4]
5	950	100	45	70	5	[6]	[5]
6	980	104	47	71	6	[7]	[6]
7	1010	108	49	72	7	[8]	[7]
8	1040	112	51	73	8	[9]	[8]
9	1070	116	53	74	9	[10]	[9]
10	1100	120	55	75	10	[11]	[10]
11	1130	124	57	76	11	[12]	[11]
12	1160	128	59	77	12	[13]	[12]
13	1190	132	61	78	13	[14]	[13]
14	1220	136	63	79	14	[15]	[14]
15	1250	140	65	80	15	[16]	[15]
16	1280	144	67	81	16	[17]	[16]
17	1310	148	69	82	17	[18]	[17]
18	1340	152	71	83	18	[19]	[18]
19	1370	156	73	84	19	[20]	[19]
20	1400	160	75	85	20	[21]	[20]
21	1430	164	77	86	21	[22]	[21]
22	1460	168	79	87	22	[23]	[22]
23	1490	172	81	88	23	[24]	[23]
24	1520	176	83	89	24	[25]	[24]
25	1550	180	85	90	25	[26]	[25]
26	1580	184	87	65	26	[27]	[26]
27	1610	188	89	66	27	[28]	[27]
28	1640	192	91	67	28	[29]	[28]
29	1670	196	93	68	29	[30]	[29]
30	1700	200	95	69	30	[31]	[30]
31	1730	204	97	70	31	[32]	[31]
32	1760	208	99	71	32	[33]	[32]
33	1790	212	101	72	33	[34]	[33]
34	1820	216	103	73	34	[35]	[34]
35	1850	220	105	74	35	[36]	[35]
36	1880	224	107	75	36	[37]	[36]
37	1910	228	109	76	37	[38]	[37]
38	1940	232	111	77	38	[39]	[38]
39	1970	236	113	78	39	[40]	[39]
40	2000	240	115	79	40	[41]	[40]
41	2030	244	117	80	41	[42]	[41]
42	2060	248	119	81	42	[43]	[42]
43	2090	252	121	82	43	[44]	[43]
44	2120	256	123	83	44	[45]	[44]
45	2150	260	125	84	45	[46]	[45]
46	2180	264	127	85	46	[47]	[46]
47	2210	268	129	86	47	[48]	[47]
48	2240	272	131	87	48	[49]	[48]
49	2270	276	133	88	49	[50]	[49]
50	2300	280	135	89	50	[51]	[50]
51	2330	284	137	90	51	[52]	[51]
52	2360	288	139	65	52	[53]	[52]
53	2390	292	141	66	53	[54]	[53]
54	2420	296	143	67	54	[55]	[54]
55	2450	300	145	68	55	[56]	[55]
56	2480	304	147	69	56	[57]	[56]
57	2510	308	149	70	57	[58]	[57]
58	2540	312	151	71	58	[59]	[58]
59	2570	316	153	72	59	[60]	[59]
60	2600	320	155	73	60	[61]	[60]
61	2630	324	157	74	61	[62]	[61]
62	2660	328	159	75	62	[63]	[62]
63	2690	332	161	76	63	[64]	[63]
64	2720	336	163	77	64	[65]	[64]
65	2750	340	165	78	65	[66]	[65]
66	2780	344	167	79	66	[67]	[66]
67	2810	348	169	80	67	[68]	[67]
68	2840	352	171	81	68	[69]	[68]
69	2870	356	173	82	69	[70]	[69]
70	2900	360	175	83	70	[71]	[70]
71	2930	364	177	84	71	[72]	[71]
72	2960	368	179	85	72	[73]	[72]
73	2990	372	181	86	73	[74]	[73]
74	3020	376	183	87	74	[75]	[74]
75	3050	380	185	88	75	[76]	[75]
76	3080	384	187	89	76	[77]	[76]
77	3110	388	189	90	77	[78]	[77]
78	3140	392	191	65	78	[79]	[78]
79	3170	396	193	66	79	[80]	[79]
80	3200	400	195	67	80	[81]	[80]
81	3230	404	197	68	81	[82]	[81]
82	3260	408	199	69	82	[83]	[82]
83	3290	412	201	70	83	[84]	[83]
84	3320	416	203	71	84	[85]	[84]
85	3350	420	205	72	85	[86]	[85]
86	3380	424	207	73	86	[87]	[86]
87	3410	428	209	74	87	[88]	[87]
88	3440	432	211	75	88	[89]	[88]
89	3470	436	213	76	89	[90]	[89]
90	3500	440	215	77	90	[91]	[90]
91	3530	444	217	78	91	[92]	[91]
92	3560	448	219	79	92	[93]	[92]
93	3590	452	221	80	93	[94]	[93]
94	3620	456	223	81	94	[95]	[94]
95	3650	460	225	82	95	[96]	[95]
96	3680	464	227	83	96	[97]	[96]
97	3710	468	229	84	97	[98]	[97]
98	3740	472	231	85	98	[99]	[98]
99	3770	476	233	86	99	[100]	[99]
100	3800	480	235	87	100	[1]	[100]
