C_INT_id	C_ARR_members
s	s
int	TypIDVal[]
CfgID	Members
id	members
	TypIDVal_P_cspb
怪物组配置 ID	monster members (Typ=battle_monster; ID=monster config ID; Val=position)


1	"[{""typ"":""battle_monster"",""id"":1,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":2,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":3,""val"":3,""pro"":0}]"
2	"[{""typ"":""battle_monster"",""id"":2,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":3,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":4,""val"":3,""pro"":0}]"
3	"[{""typ"":""battle_monster"",""id"":3,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":4,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":5,""val"":3,""pro"":0}]"
4	"[{""typ"":""battle_monster"",""id"":4,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":5,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":6,""val"":3,""pro"":0}]"
5	"[{""typ"":""battle_monster"",""id"":5,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":6,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":7,""val"":3,""pro"":0}]"
6	"[{""typ"":""battle_monster"",""id"":6,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":7,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":8,""val"":3,""pro"":0}]"
7	"[{""typ"":""battle_monster"",""id"":7,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":8,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":9,""val"":3,""pro"":0}]"
8	"[{""typ"":""battle_monster"",""id"":8,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":9,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":10,""val"":3,""pro"":0}]"
9	"[{""typ"":""battle_monster"",""id"":9,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":10,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":11,""val"":3,""pro"":0}]"
10	"[{""typ"":""battle_monster"",""id"":10,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":11,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":12,""val"":3,""pro"":0}]"
11	"[{""typ"":""battle_monster"",""id"":11,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":12,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":13,""val"":3,""pro"":0}]"
12	"[{""typ"":""battle_monster"",""id"":12,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":13,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":14,""val"":3,""pro"":0}]"
13	"[{""typ"":""battle_monster"",""id"":13,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":14,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":15,""val"":3,""pro"":0}]"
14	"[{""typ"":""battle_monster"",""id"":14,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":15,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":16,""val"":3,""pro"":0}]"
15	"[{""typ"":""battle_monster"",""id"":15,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":16,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":17,""val"":3,""pro"":0}]"
16	"[{""typ"":""battle_monster"",""id"":16,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":17,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":18,""val"":3,""pro"":0}]"
17	"[{""typ"":""battle_monster"",""id"":17,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":18,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":19,""val"":3,""pro"":0}]"
18	"[{""typ"":""battle_monster"",""id"":18,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":19,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":20,""val"":3,""pro"":0}]"
19	"[{""typ"":""battle_monster"",""id"":19,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":20,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":21,""val"":3,""pro"":0}]"
20	"[{""typ"":""battle_monster"",""id"":20,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":21,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":22,""val"":3,""pro"":0}]"
21	"[{""typ"":""battle_monster"",""id"":21,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":22,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":23,""val"":3,""pro"":0}]"
22	"[{""typ"":""battle_monster"",""id"":22,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":23,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":24,""val"":3,""pro"":0}]"
23	"[{""typ"":""battle_monster"",""id"":23,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":24,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":25,""val"":3,""pro"":0}]"
24	"[{""typ"":""battle_monster"",""id"":24,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":25,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":26,""val"":3,""pro"":0}]"
25	"[{""typ"":""battle_monster"",""id"":25,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":26,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":27,""val"":3,""pro"":0}]"
26	"[{""typ"":""battle_monster"",""id"":26,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":27,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":28,""val"":3,""pro"":0}]"
27	"[{""typ"":""battle_monster"",""id"":27,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":28,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":29,""val"":3,""pro"":0}]"
28	"[{""typ"":""battle_monster"",""id"":28,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":29,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":30,""val"":3,""pro"":0}]"
29	"[{""typ"":""battle_monster"",""id"":29,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":30,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":31,""val"":3,""pro"":0}]"
30	"[{""typ"":""battle_monster"",""id"":30,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":31,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":32,""val"":3,""pro"":0}]"
31	"[{""typ"":""battle_monster"",""id"":31,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":32,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":33,""val"":3,""pro"":0}]"
32	"[{""typ"":""battle_monster"",""id"":32,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":33,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":34,""val"":3,""pro"":0}]"
33	"[{""typ"":""battle_monster"",""id"":33,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":34,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":35,""val"":3,""pro"":0}]"
34	"[{""typ"":""battle_monster"",""id"":34,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":35,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":36,""val"":3,""pro"":0}]"
