C_INT_id	C_LONG_max_hp	C_LONG_attack	C_LONG_defense	C_LONG_speed	C_INT_default_position	C_INT_basic_skill_id	C_ARR_active_skill_ids	C_ARR_initial_status_ids
s	s	s	s	s	s	s	s	s
int	long	long	long	long	int	int	int[]	int[]
CfgID	MaxHP	Attack	Defense	Speed	DefaultPosition	BasicSkillID	ActiveSkillIDs	InitialStatusIDs
id	max_hp	attack	defense	speed	default_position	basic_skill_id	active_skill_ids	initial_status_ids
								
角色配置 ID	基础最大生命	基础攻击	基础防御	基础速度	默认站位	普攻技能 ID	主动技能 ID	初始状态 ID


1	1025	103	52	81	1	1	[2,3]	[1]
2	1050	106	54	82	2	2	[3,4]	[2]
3	1075	109	56	83	3	3	[4,5]	[3]
4	1100	112	58	84	4	4	[5,6]	[4]
5	1125	115	60	85	5	5	[6,7]	[5]
6	1150	118	62	86	6	6	[7,8]	[6]
7	1175	121	64	87	7	7	[8,9]	[7]
8	1200	124	66	88	8	8	[9,10]	[8]
9	1225	127	68	89	9	9	[10,11]	[9]
10	1250	130	70	90	10	10	[11,12]	[10]
11	1275	133	72	91	11	11	[12,13]	[11]
12	1300	136	74	92	12	12	[13,14]	[12]
13	1325	139	76	93	13	13	[14,15]	[13]
14	1350	142	78	94	14	14	[15,16]	[14]
15	1375	145	80	95	15	15	[16,17]	[15]
16	1400	148	82	96	16	16	[17,18]	[16]
17	1425	151	84	97	17	17	[18,19]	[17]
18	1450	154	86	98	18	18	[19,20]	[18]
19	1475	157	88	99	19	19	[20,21]	[19]
20	1500	160	90	100	20	20	[21,22]	[20]
21	1525	163	92	80	21	21	[22,23]	[21]
22	1550	166	94	81	22	22	[23,24]	[22]
23	1575	169	96	82	23	23	[24,25]	[23]
24	1600	172	98	83	24	24	[25,26]	[24]
25	1625	175	100	84	25	25	[26,27]	[25]
26	1650	178	102	85	26	26	[27,28]	[26]
27	1675	181	104	86	27	27	[28,29]	[27]
28	1700	184	106	87	28	28	[29,30]	[28]
29	1725	187	108	88	29	29	[30,31]	[29]
30	1750	190	110	89	30	30	[31,32]	[30]
31	1775	193	112	90	31	31	[32,33]	[31]
32	1800	196	114	91	32	32	[33,34]	[32]
33	1825	199	116	92	33	33	[34,35]	[33]
34	1850	202	118	93	34	34	[35,36]	[34]
35	1875	205	120	94	35	35	[36,37]	[35]
36	1900	208	122	95	36	36	[37,38]	[36]
37	1925	211	124	96	37	37	[38,39]	[37]
38	1950	214	126	97	38	38	[39,40]	[38]
39	1975	217	128	98	39	39	[40,41]	[39]
40	2000	220	130	99	40	40	[41,42]	[40]
41	2025	223	132	100	41	41	[42,43]	[41]
42	2050	226	134	80	42	42	[43,44]	[42]
43	2075	229	136	81	43	43	[44,45]	[43]
44	2100	232	138	82	44	44	[45,46]	[44]
45	2125	235	140	83	45	45	[46,47]	[45]
46	2150	238	142	84	46	46	[47,48]	[46]
47	2175	241	144	85	47	47	[48,49]	[47]
48	2200	244	146	86	48	48	[49,50]	[48]
49	2225	247	148	87	49	49	[50,51]	[49]
50	2250	250	150	88	50	50	[51,52]	[50]
51	2275	253	152	89	51	51	[52,53]	[51]
52	2300	256	154	90	52	52	[53,54]	[52]
53	2325	259	156	91	53	53	[54,55]	[53]
54	2350	262	158	92	54	54	[55,56]	[54]
55	2375	265	160	93	55	55	[56,57]	[55]
56	2400	268	162	94	56	56	[57,58]	[56]
57	2425	271	164	95	57	57	[58,59]	[57]
58	2450	274	166	96	58	58	[59,60]	[58]
59	2475	277	168	97	59	59	[60,61]	[59]
60	2500	280	170	98	60	60	[61,62]	[60]
61	2525	283	172	99	61	61	[62,63]	[61]
62	2550	286	174	100	62	62	[63,64]	[62]
63	2575	289	176	80	63	63	[64,65]	[63]
64	2600	292	178	81	64	64	[65,66]	[64]
65	2625	295	180	82	65	65	[66,67]	[65]
66	2650	298	182	83	66	66	[67,68]	[66]
67	2675	301	184	84	67	67	[68,69]	[67]
68	2700	304	186	85	68	68	[69,70]	[68]
69	2725	307	188	86	69	69	[70,71]	[69]
70	2750	310	190	87	70	70	[71,72]	[70]
71	2775	313	192	88	71	71	[72,73]	[71]
72	2800	316	194	89	72	72	[73,74]	[72]
73	2825	319	196	90	73	73	[74,75]	[73]
74	2850	322	198	91	74	74	[75,76]	[74]
75	2875	325	200	92	75	75	[76,77]	[75]
76	2900	328	202	93	76	76	[77,78]	[76]
77	2925	331	204	94	77	77	[78,79]	[77]
78	2950	334	206	95	78	78	[79,80]	[78]
79	2975	337	208	96	79	79	[80,81]	[79]
80	3000	340	210	97	80	80	[81,82]	[80]
81	3025	343	212	98	81	81	[82,83]	[81]
82	3050	346	214	99	82	82	[83,84]	[82]
83	3075	349	216	100	83	83	[84,85]	[83]
84	3100	352	218	80	84	84	[85,86]	[84]
85	3125	355	220	81	85	85	[86,87]	[85]
86	3150	358	222	82	86	86	[87,88]	[86]
87	3175	361	224	83	87	87	[88,89]	[87]
88	3200	364	226	84	88	88	[89,90]	[88]
89	3225	367	228	85	89	89	[90,91]	[89]
90	3250	370	230	86	90	90	[91,92]	[90]
91	3275	373	232	87	91	91	[92,93]	[91]
92	3300	376	234	88	92	92	[93,94]	[92]
93	3325	379	236	89	93	93	[94,95]	[93]
94	3350	382	238	90	94	94	[95,96]	[94]
95	3375	385	240	91	95	95	[96,97]	[95]
96	3400	388	242	92	96	96	[97,98]	[96]
97	3425	391	244	93	97	97	[98,99]	[97]
98	3450	394	246	94	98	98	[99,100]	[98]
