C_INT_id	C_LONG_atb_threshold	C_INT_max_actions	C_LONG_damage_variance_permille	C_LONG_crit_chance_permille	C_LONG_crit_multiplier_permille	C_INT_tick_duration_ms
s	s	s	s	s	s	s
int	long	int	long	long	long	int
BattleType	ATBThreshold	MaxActions	DamageVariancePermille	CritChancePermille	CritMultiplierPermille	TickDurationMS
id	atb_threshold	max_actions	damage_variance_permille	crit_chance_permille	crit_multiplier_permille	tick_duration_ms

战斗类型	行动条阈值	最大行动次数	伤害浮动（千分比）	暴击概率（千分比）	暴击倍率（千分比）	每 tick 毫秒数


1	1100	101	51	107	1550	100
2	1200	102	52	114	1600	100
3	1300	103	53	121	1650	100
4	1400	104	54	128	1700	100
5	1000	105	55	135	1750	100
6	1100	106	56	142	1500	100
7	1200	107	57	149	1550	100
8	1300	108	58	156	1600	100
9	1400	109	59	163	1650	100
10	1000	110	60	170	1700	100
11	1100	111	61	177	1750	100
12	1200	112	62	184	1500	100
13	1300	113	63	191	1550	100
14	1400	114	64	198	1600	100
15	1000	115	65	205	1650	100
16	1100	116	66	212	1700	100
17	1200	117	67	219	1750	100
18	1300	118	68	226	1500	100
19	1400	119	69	233	1550	100
20	1000	120	70	240	1600	100
21	1100	121	71	247	1650	100
22	1200	122	72	254	1700	100
23	1300	123	73	261	1750	100
24	1400	124	74	268	1500	100
25	1000	125	75	275	1550	100
26	1100	126	76	282	1600	100
27	1200	127	77	289	1650	100
28	1300	128	78	296	1700	100
29	1400	129	79	303	1750	100
30	1000	130	80	310	1500	100
31	1100	131	81	317	1550	100
32	1200	132	82	324	1600	100
33	1300	133	83	331	1650	100
34	1400	134	84	338	1700	100
35	1000	135	85	345	1750	100
36	1100	136	86	352	1500	100
37	1200	137	87	359	1550	100
38	1300	138	88	366	1600	100
39	1400	139	89	373	1650	100
40	1000	140	90	380	1700	100
41	1100	141	91	387	1750	100
42	1200	142	92	394	1500	100
43	1300	143	93	100	1550	100
44	1400	144	94	107	1600	100
45	1000	145	95	114	1650	100
46	1100	146	96	121	1700	100
47	1200	147	97	128	1750	100
48	1300	148	98	135	1500	100
49	1400	149	99	142	1550	100
50	1000	150	100	149	1600	100
51	1100	151	101	156	1650	100
52	1200	152	102	163	1700	100
53	1300	153	103	170	1750	100
54	1400	154	104	177	1500	100
55	1000	155	105	184	1550	100
56	1100	156	106	191	1600	100
57	1200	157	107	198	1650	100
58	1300	158	108	205	1700	100
59	1400	159	109	212	1750	100
60	1000	160	110	219	1500	100
61	1100	161	111	226	1550	100
62	1200	162	112	233	1600	100
63	1300	163	113	240	1650	100
64	1400	164	114	247	1700	100
65	1000	165	115	254	1750	100
66	1100	166	116	261	1500	100
67	1200	167	117	268	1550	100
68	1300	168	118	275	1600	100
69	1400	169	119	282	1650	100
70	1000	170	120	289	1700	100
71	1100	171	121	296	1750	100
72	1200	172	122	303	1500	100
73	1300	173	123	310	1550	100
74	1400	174	124	317	1600	100
75	1000	175	125	324	1650	100
76	1100	176	126	331	1700	100
77	1200	177	127	338	1750	100
78	1300	178	128	345	1500	100
79	1400	179	129	352	1550	100
80	1000	180	130	359	1600	100
81	1100	181	131	366	1650	100
82	1200	182	132	373	1700	100
83	1300	183	133	380	1750	100
84	1400	184	134	387	1500	100
85	1000	185	135	394	1550	100
86	1100	186	136	100	1600	100
87	1200	187	137	107	1650	100
88	1300	188	138	114	1700	100
89	1400	189	139	121	1750	100
90	1000	190	140	128	1500	100
91	1100	191	141	135	1550	100
92	1200	192	142	142	1600	100
93	1300	193	143	149	1650	100
94	1400	194	144	156	1700	100
95	1000	195	145	163	1750	100
96	1100	196	146	170	1500	100
97	1200	197	147	177	1550	100
98	1300	198	148	184	1600	100
99	1400	199	149	191	1650	100
100	1000	200	150	198	1700	100
