C_INT_id	C_INT_cooldown	C_INT_target_rule	C_ARR_effects
s	s	s	s
int	int	int	TypIDVal[]
CfgID	Cooldown	TargetRule	Effects
id	cooldown	target_rule	effects
			TypIDVal_P_cspb
技能配置 ID	冷却行动次数	目标规则	effects (Typ=battle_damage/battle_heal/battle_status; ID=status ID; Val=flat; Pro=coefficient permille)


1	2	1	"[{""typ"":""battle_damage"",""id"":0,""val"":6,""pro"":900},{""typ"":""battle_status"",""id"":1,""val"":0,""pro"":0}]"
2	3	1	"[{""typ"":""battle_damage"",""id"":0,""val"":7,""pro"":950},{""typ"":""battle_status"",""id"":2,""val"":0,""pro"":0}]"
3	4	2	"[{""typ"":""battle_damage"",""id"":0,""val"":8,""pro"":1000},{""typ"":""battle_status"",""id"":3,""val"":0,""pro"":0}]"
4	1	1	"[{""typ"":""battle_damage"",""id"":0,""val"":9,""pro"":1050},{""typ"":""battle_status"",""id"":4,""val"":0,""pro"":0}]"
5	2	1	"[{""typ"":""battle_damage"",""id"":0,""val"":10,""pro"":1100},{""typ"":""battle_status"",""id"":5,""val"":0,""pro"":0}]"
6	3	2	"[{""typ"":""battle_damage"",""id"":0,""val"":11,""pro"":850},{""typ"":""battle_status"",""id"":6,""val"":0,""pro"":0}]"
7	4	1	"[{""typ"":""battle_damage"",""id"":0,""val"":12,""pro"":900},{""typ"":""battle_status"",""id"":7,""val"":0,""pro"":0}]"
8	1	1	"[{""typ"":""battle_damage"",""id"":0,""val"":13,""pro"":950},{""typ"":""battle_status"",""id"":8,""val"":0,""pro"":0}]"
9	2	2	"[{""typ"":""battle_damage"",""id"":0,""val"":14,""pro"":1000},{""typ"":""battle_status"",""id"":9,""val"":0,""pro"":0}]"
10	3	1	"[{""typ"":""battle_damage"",""id"":0,""val"":15,""pro"":1050},{""typ"":""battle_status"",""id"":10,""val"":0,""pro"":0}]"
11	4	1	"[{""typ"":""battle_damage"",""id"":0,""val"":16,""pro"":1100},{""typ"":""battle_status"",""id"":11,""val"":0,""pro"":0}]"
12	1	2	"[{""typ"":""battle_damage"",""id"":0,""val"":17,""pro"":850},{""typ"":""battle_status"",""id"":12,""val"":0,""pro"":0}]"
13	2	1	"[{""typ"":""battle_damage"",""id"":0,""val"":18,""pro"":900},{""typ"":""battle_status"",""id"":13,""val"":0,""pro"":0}]"
14	3	1	"[{""typ"":""battle_damage"",""id"":0,""val"":19,""pro"":950},{""typ"":""battle_status"",""id"":14,""val"":0,""pro"":0}]"
15	4	2	"[{""typ"":""battle_damage"",""id"":0,""val"":20,""pro"":1000},{""typ"":""battle_status"",""id"":15,""val"":0,""pro"":0}]"
16	1	1	"[{""typ"":""battle_damage"",""id"":0,""val"":21,""pro"":1050},{""typ"":""battle_status"",""id"":16,""val"":0,""pro"":0}]"
17	2	1	"[{""typ"":""battle_damage"",""id"":0,""val"":22,""pro"":1100},{""typ"":""battle_status"",""id"":17,""val"":0,""pro"":0}]"
18	3	2	"[{""typ"":""battle_damage"",""id"":0,""val"":23,""pro"":850},{""typ"":""battle_status"",""id"":18,""val"":0,""pro"":0}]"
19	4	1	"[{""typ"":""battle_damage"",""id"":0,""val"":24,""pro"":900},{""typ"":""battle_status"",""id"":19,""val"":0,""pro"":0}]"
