C_INT_id	C_INT_kind	C_INT_duration_turns	C_LONG_potency	C_ARR_modifier
s	s	s	s	s
int	int	int	long	TypIDVal[]
CfgID	Kind	DurationTurns	Potency	Modifier
id	kind	duration_turns	potency	modifier
				TypIDVal_P_cspb
状态配置 ID	状态类型	持续行动次数	DOT 或 HOT 数值	attribute modifiers (Typ=battle_attribute; IDs 1..4=max_hp/attack/defense/speed)


1	1	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
2	2	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
3	3	4	13	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
4	4	1	14	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
5	5	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":10,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":4,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
6	1	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
7	2	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
8	3	1	18	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
9	4	2	19	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
10	5	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":15,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":7,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
11	1	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
12	2	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
13	3	2	23	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
14	4	3	24	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
